source_file,en_source,de_translation,de_correction,error_category,severity,feedback_reviewer,feedback_translator,linter_fires,comment_classification
24_0430_4584_US_IE_4.xlsx,"receiving, by the forwarding plane network element, a tunnel establishment request from the access gateway, wherein the tunnel establishment request is used to establish a communication tunnel between the access gateway and the forwarding plane network element, and the tunnel establishment request is generated by the controller based on information that is about the forwarding plane network element and that is sent by the control plane network element after the control plane network element determines the forwarding plane network element after receiving a dial-up packet sent by user equipment, wherein the dial-up packet comprises an internet protocol IP address of the user equipment; and","Empfangen, durch das Weiterleitungsebenennetzwerkelement, einer Tunnelaufbauanforderung von dem Zugangs-Gateway, wobei die Tunnelaufbauanforderung verwendet wird, um einen Kommunikationstunnel zwischen dem Zugangs-Gateway und dem Weiterleitungsebenennetzwerkelement aufzubauen, und die Tunnelaufbauanforderung durch die Steuerung erzeugt wird basierend auf Informationen über das Weiterleitungsebenennetzwerkelement, die durch das Steuerungsebenennetzwerkelement gesendet werden, nachdem das Steuerungsebenennetzwerkelement das Weiterleitungsebenennetzwerkelement nach dem Empfangen eines durch das Benutzergerät gesendeten Einwahlpakets bestimmt, wobei das Einwahlpaket eine Internetprotokoll-IP-Adresse des Benutzergeräts umfasst; und","Empfangen einer Tunnelaufbauanforderung von dem Zugangs-Gateway durch das Weiterleitungsebenennetzwerkelement, wobei die Tunnelaufbauanforderung verwendet wird, um einen Kommunikationstunnel zwischen dem Zugangs-Gateway und dem Weiterleitungsebenennetzwerkelement aufzubauen, und die Tunnelaufbauanforderung durch die Steuerung basierend auf Informationen erzeugt wird, die zu dem Weiterleitungsebenennetzwerkelement sind und die durch das Steuerungsebenennetzwerkelement gesendet werden, nachdem das Steuerungsebenennetzwerkelement das Weiterleitungsebenennetzwerkelement nach dem Empfangen eines durch das Benutzergerät gesendeten Einwahlpakets bestimmt, wobei das Einwahlpaket eine Internetprotokoll-IP-Adresse des Benutzergeräts umfasst; und",Accuracy,Minor,"""information that is about…""
""erzeugt wird basierend auf"" klingt unschön",,werden_dynamic,linter_new:genitive_separation; linter:werden_dynamic
24_0430_4584_US_IE_4.xlsx,"A computer-readable storage medium, comprising instructions, wherein when the instructions are run on a computing device, the computing device is enabled to perform the method according to any one of claims 1 to 6.","Computerlesbares Speichermedium, das Anweisungen umfasst, wobei, wenn die Anweisungen auf einer Rechenvorrichtung ausgeführt werden, die Rechenvorrichtung in die Lage versetzt wird, das Verfahren nach einem der Ansprüche 1 bis 6 durchzuführen.","Computerlesbares Speichermedium, umfassend Anweisungen, wobei, wenn die Anweisungen auf einer Rechenvorrichtung laufen gelassen werden, die Rechenvorrichtung in die Lage versetzt wird, das Verfahren nach einem der Ansprüche 1 bis 6 durchzuführen.",Consistency,Minor,"execute = ausführen (später verwendet)
run = laufen lassen
comprising = umfassend (wenn möglich)",,werden_dynamic,glossary:comprise; manual:consistency
"24_0828_7820_US_LB_4,5.xlsx",a channel or a hallway (500) leading to said entrance (310); said channel or hallway (500) comprising one or more entry openings (510);,"einen Kanal oder einen Gang (500), der zu dem Eingang (310) führt; wobei der Kanal oder der Gang (500) eine oder mehrere Eingangsöffnungen (510) umfasst;","einen Kanal oder einen Gang (500), der zu dem Eingang (310) führt; der Kanal oder der Gang (500) eine oder mehrere Eingangsöffnungen (510) umfassend;",Accuracy,Minor,comprising= umfassend whenever possible,,,glossary:comprise
"24_0828_7820_US_LB_4,5.xlsx",a kit of cores of varying weights adapted for replacing said replaceable core (210).,"einen Satz von Kernen mit unterschiedlichem Gewicht, die zum Auswechseln des austauschbaren Kerns (210) geeignet sind.","einen Satz von Kernen mit unterschiedlichem Gewicht, die zum Austauschen des austauschbaren Kerns (210) geeignet sind.",Consistency,Minor,,,preposition_contraction,manual:consistency
"24_0828_7820_US_LB_4,5.xlsx","9. The rechargeable trap (100) according to any one of the claims 1-6, further comprising a kit of inserts (400), wherein said kit of inserts (400) comprises:","9. Wiederaufladbare Falle (100) nach einem der Ansprüche 1–6, die ferner einen Satz von Einsätzen (400) umfasst, wobei der Satz von Einsätzen (400) Folgendes umfasst:","9. Wiederaufladbare Falle (100) nach einem der Ansprüche 1–6, ferner einen Satz von Einsätzen (400) umfassend, wobei der Satz von Einsätzen (400) Folgendes umfasst:",Accuracy,Minor,comprising= umfassend whenever possible,,,glossary:comprise
"24_0828_7820_US_LB_4,5.xlsx",A method of preparing a rechargeable trap (100) for a specific target species comprising the steps of:,"Verfahren zur Vorbereitung einer wiederaufladbaren Falle (100) für eine spezifische Zielspezies, umfassend die Schritte:","Verfahren des Vorbereitens einer wiederaufladbaren Falle (100) für eine spezifische Zielspezies, die Folgenden Schritte umfassend:",Accuracy,Minor,comprising= umfassend whenever possible,,preposition_contraction,linter:preposition_contraction; linter_new:nominalization; glossary:comprise
"24_0828_7820_US_LB_4,5.xlsx",c2) selecting a core (210) from a kit of cores of varying weights and suitable for being load into a piston or spear (200) of said trap (100) to provide a piston or spear with a suitable weight for killing said specific target species; and,"c2) Auswählen eines Kerns (210) aus einem Satz von Kernen mit unterschiedlichem Gewicht und passend zum Laden in einen Kolben oder Speer (200) der Falle (100), um einen Kolben oder Speer mit einem geeigneten Gewicht zum Töten der spezifischen Zielspezies bereitzustellen; und","c2) Auswählen eines Kerns (210) aus einem Satz von Kernen mit unterschiedlichem Gewicht und passend zum Bestücken eines Kolbens oder Speers (200) der Falle (100), um einen Kolben oder Speer mit einem geeigneten Gewicht zum Töten der spezifischen Zielspezies bereitzustellen; und",Preferential Change,,,,preposition_contraction,manual:other
25_0109_7824_US_LB_5.xlsx,a burner head (192) including an ignition device (193);,einen Brennerkopf (192) mit einer Zündvorrichtung (193);,einen Brennerkopf (192) aufweisend eine Zündvorrichtung (193);,Terminology,Minor,glossary mismatch,,,glossary:have_having
25_0109_7824_US_LB_5.xlsx,"at least one resonance chamber (240, 242) shaped and dimensioned such that fluid inside it resonates, in use, at a respective selected resonant frequency, the, or each, resonance chamber having a fluid inlet (244, 246) to allow fluid communication between the respective chamber and the burner device,","mindestens eine Resonanzkammer (240, 242), die derart geformt und dimensioniert ist, dass Fluid in ihrem Inneren im Betrieb bei einer jeweiligen ausgewählten Resonanzfrequenz resoniert, wobei die oder jede Resonanzkammer einen Fluideinlass (244, 246) aufweist, um eine Fluidverbindung zwischen der jeweiligen Kammer und der Brennervorrichtung zu ermöglichen,","mindestens eine Resonanzkammer (240, 242), die derart geformt und dimensioniert ist, dass Fluid in ihrem Inneren beim Betrieb bei einer jeweiligen ausgewählten Resonanzfrequenz resoniert, wobei die oder jede Resonanzkammer einen Fluideinlass (244, 246) aufweist, um eine Fluidverbindung zwischen der jeweiligen Kammer und der Brennervorrichtung zu ermöglichen,",Language,Minor,,,preposition_contraction,manual:other
25_0109_7824_US_LB_5.xlsx,have/ include,aufweisen,,Accuracy,Minor,"aufweisen used fot both words, changed include to einschließen to keep aufweisen for have",,,glossary:include; manual:consistency
25_0428_4743_US_IE_4.xlsx,"in a case where a user equipment, UE, determines that the UE is incapable of simultaneously transmitting uplink, UL, traffic and sidelink, SL, traffic, comparing (S201) a priority of a UL channel with a priority of an SL channel; and","in einem Fall, in dem ein Benutzergerät, UE, bestimmt, dass das UE nicht in der Lage ist, gleichzeitig Uplink-, UL-, Verkehr und Sidelink-, SL-, Verkehr zu übertragen, Vergleichen (S201) einer Priorität eines UL-Kanals mit einer Priorität eines SL-Kanals; und","in einem Fall, in dem eine Benutzerausrüstung, UE, bestimmt, dass die UE nicht in der Lage ist, gleichzeitig Uplink(UL)-Verkehr und Sidelink(SL)-Verkehr zu übertragen, Vergleichen (S201) einer Priorität eines UL-Kanals mit einer Priorität eines SL-Kanals; und",Style,Minor,"Akronyme sollen in Komposita in Klammern
Gerät schon für apparatus verwendet",,,linter:acronym_in_compound; glossary:apparatus_device
25_0428_4743_US_IE_4.xlsx,"transmitting (S202), by the UE, traffic according to a comparison result;","Übertragen (S202), durch das UE, von Verkehr gemäß einem Vergleichsergebnis;",Übertragen (S202) von Verkehr durch die UE gemäß einem Vergleichsergebnis;,Language,Minor,Genitive nicht trennen,,,linter_new:genitive_separation
25_0428_4743_US_IE_4.xlsx,"in a case where the comparison result is that the priority of the SL channel is higher than the priority of the UL channel, transmitting, by the UE, the SL traffic, wherein the priority of the SL channel being higher than the priority of the UL channel comprises that: a value of a logical channel priority of the UL channel being greater than a second threshold and a value of a logical channel priority of the SL channel being less than a first threshold;","in einem Fall, in dem das Vergleichsergebnis lautet, dass die Priorität des SL-Kanals höher als die Priorität des UL-Kanals ist, Übertragen, durch das UE, des SL-Verkehrs, wobei die Priorität des SL-Kanals, die höher als die Priorität des UL-Kanals ist, Folgendes umfasst: einen Wert einer Priorität eines logischen Kanals des UL-Kanals größer als ein zweiter Schwellenwert und einen Wert einer Priorität eines logischen Kanals des SL-Kanals kleiner als ein erster Schwellenwert;","in einem Fall, in dem das Vergleichsergebnis ist, dass die Priorität des SL-Kanals höher als die Priorität des UL-Kanals ist, Übertragen des SL-Verkehrs durch die UE, wobei die Tatsache, dass die Priorität des SL-Kanals höher als die Priorität des UL-Kanals ist, umfasst, dass: ein Wert einer Priorität eines logischen Kanals des UL-Kanals größer als ein zweiter Schwellenwert ist und ein Wert einer Priorität eines logischen Kanals des SL-Kanals kleiner als ein erster Schwellenwert ist;",Accuracy,Minor,"is = ist
umfasst, dass (wörtlich)
Nicht die Priorität des SL-Kanals umfasst etwas, sondern die Tatsache, dass sie größer ist als die Priorität des UL-Kanals",,,glossary:is_are_value; manual:accuracy
25_0428_4743_US_IE_4.xlsx,"wherein the method further comprising: receiving, by the UE, the first threshold and the second threshold sent by a network side through a system message or an RRC message.","wobei das Verfahren ferner Folgendes umfasst: Empfangen, durch das UE, des ersten Schwellenwerts und des zweiten Schwellenwerts, die durch eine Netzwerkseite durch eine Systemnachricht oder eine RRC-Nachricht gesendet werden.","wobei das Verfahren ferner Folgendes umfasst: Empfangen des ersten Schwellenwerts und des zweiten Schwellenwerts, die durch eine Netzwerkseite über eine Systemnachricht oder eine RRC-Nachricht gesendet werden, durch die UE.",Consistency,Minor,"Später wurde ""by"" mit ""von"" übersetzt. Ich würde immer bei ""durch"" bleiben und entsprechend ""through = über"" anpassen.",,werden_dynamic,linter_new:genitive_separation; manual:consistency
25_0428_4743_US_IE_4.xlsx,a value of the logical channel priority of the SL channel being less than a value of the logical channel priority of the UL channel;,ein Wert der Priorität eines logischen Kanals des SL-Kanals ist kleiner als ein Wert der Priorität eines logischen Kanals des UL-Kanals;,"die Tatsache, dass ein Wert der Priorität eines logischen Kanals des SL-Kanals kleiner als ein Wert der Priorität eines logischen Kanals des UL-Kanals ist;",Accuracy,Minor,Alle Segmente in der Liste entsprechend angepasst.,,,manual:word_order
25_0428_4743_US_IE_4.xlsx,"wherein the value of the priority of the MAC CE comprises a value of a priority of each MAC CE of N MAC CEs, a value of a priority uniformly configured by the network side for N MAC CEs, a value of a priority configured by the network side for a non-padding MAC CE, or a value of a priority configured by the network side for a padding MAC CE, wherein N is a natural number.","wobei der Wert der Priorität des MAC-CE einen Wert einer Priorität jedes MAC-CE von N MAC-CEs, einen Wert einer Priorität, die von der Netzwerkseite für N MAC-CEs einheitlich konfiguriert ist, einen Wert einer Priorität, die von der Netzwerkseite für ein nicht auffüllendes MAC-CE konfiguriert ist, oder einen Wert einer Priorität, die von der Netzwerkseite für ein auffüllendes MAC-CE konfiguriert ist, umfasst, wobei N eine natürliche Zahl ist.","wobei der Wert der Priorität des MAC CE einen Wert einer Priorität jedes MAC CE von N MAC CEs, einen Wert einer durch die Netzwerkseite für N MAC CEs einheitlich konfigurierten Priorität, einen Wert einer durch die Netzwerkseite für ein Nicht-Blindgruppen-MAC-CE konfigurierten Priorität oder einen Wert einer durch die Netzwerkseite für ein Blindgruppen-MAC-CE konfigurierten Priorität umfasst, wobei N eine natürliche Zahl ist.",Mistranslation,Minor,"Akronyme nicht verändern
padding bedeutet anscheinend im Telekommunikationskontext ""Blindgruppe"", siehe z. B. Tureng",,,manual:accuracy; manual:terminology
25_0428_4743_US_IE_4.xlsx,"The data transmission method of claim 1, wherein in a case where the UE accesses a plurality of cells in a multi-connection manner, the method further comprises:","Datenübertragungsverfahren nach Anspruch 1, wobei in einem Fall, in dem das UE auf mehrere Zellen in einer Mehrfachverbindungsweise zugreift, das Verfahren ferner Folgendes umfasst:","Datenübertragungsverfahren nach Anspruch 1, wobei in einem Fall, in dem die UE auf eine Mehrfachverbindungsweise auf eine Vielzahl von Zellen zugreift, das Verfahren ferner Folgendes umfasst:",Terminology,Minor,plurality,,plurality_not_transferred,linter:plurality_not_transferred
25_0428_4743_US_IE_4.xlsx,"receiving, by the UE, a correspondence, sent by the network side through a system message or an RRC message, between a PC5 Quality of Service, QoS, flow identifier/PC5 5th generation mobile communication technology, 5G, QoS identifier, PFI/PQI, and a logical channel priority; and","Empfangen, durch das UE, einer von der Netzwerkseite durch eine Systemnachricht oder eine RRC-Nachricht gesendeten Korrespondenz zwischen einer PC5-Dienstgüte-, QoS-, Flusskennung/PC5-5-Generation-Mobilkommunikationstechnologie-, 5G-, QoS-Kennung, PFI/PQI, und einer Priorität eines logischen Kanals; und","Empfangen einer durch die Netzwerkseite über eine Systemnachricht oder eine RRC-Nachricht gesendeten Korrespondenz zwischen einer PC5-Dienstgüte(QoS)-Flusskennung/PC5-QoS-Kennung einer Mobilkommunikationstechnologie der 5. Generation, 5G, PFI/PQI, und einer Priorität eines logischen Kanals durch die UE; und",Style,Minor,5. Generation anders eingebettet,,hyphen_in_number_range,linter_new:genitive_separation; linter:acronym_in_compound; manual:accuracy
25_0613_4680_US_IE_4.xlsx,is in contact,in Kontakt steht,in Kontakt ist,Consistency,Minor,"I know this seems ridiculous, but I think it is important to stay consistent with the translation of ""is""/""are"".
This applies to claims only! Consistency is not as important in the specification.",,,glossary:is_are_value
25_0613_4680_US_IE_4.xlsx,into the direction,in Richtung,in die Richtung,Accuracy,Minor,Always translate articles whenever possible :),,,manual:article
25_0613_4680_US_IE_4.xlsx,predefined,vorgegeben,vordefiniert,Consistency,Minor,"""defined"" was previously translated as ""definiert""",,,manual:consistency
25_0613_4680_US_IE_4.xlsx,optionally,gegebenenfalls/optional,optional,Consistency,Minor,"Decide for one and stay consistent (I ususally use ""optional"")",,,manual:consistency
25_0613_4680_US_IE_4.xlsx,is configured to,"dazu ausgelegt ist,","konfiguriert ist, um",Terminology,Minor,See Notes on patent translations,,target_punctuation_where_none_in_source,glossary:configured_to
25_0613_4680_US_IE_4.xlsx,of said fluid and/or liquid,dieses Fluids und/oder dieser Flüssigkeit,des Fluids und/oder der Flüssigkeit,Terminology,,"said = def. art! I will add this to the ""Häufige Fehler"" list",,,glossary:said
25_0613_4680_US_IE_4.xlsx,"the first heating component (29) comprises at least two, preferably a plurality of, first heating elements (33a, 33b, 33c, 33d) and/or the second heating component (31) comprises at least two, preferably a plurality of, second heating elements (35a, 35b, 35c, 35d, 35e, 35f).","die erste Heizkomponente (29) mindestens zwei, vorzugsweise mehrere, erste Heizelemente (33a, 33b, 33c, 33d) und/oder die zweite Heizkomponente (31) mindestens zwei, vorzugsweise mehrere, zweite Heizelemente (35a, 35b, 35c, 35d, 35e, 35f) umfasst.","die erste Heizkomponente (29) mindestens zwei, vorzugsweise eine Vielzahl von ersten Heizelementen (33a, 33b, 33c, 33d) umfasst und/oder die zweite Heizkomponente (31) mindestens zwei, vorzugsweise eine Vielzahl von zweiten Heizelementen (35a, 35b, 35c, 35d, 35e, 35f) umfasst.",Terminology,Minor,"Vielzahl von is in the glossary;
source contains ""comprise"" twice, so we have to add one ""umfasst"" in the target, too",,plurality_not_transferred; comprise_umfassen,linter:plurality_not_transferred; linter:comprise_umfassen
25_0613_4680_US_IE_4.xlsx,250°C,250 °C,250[NBSP]°C,Country Standards,Minor,"Missing NBSPs before units of measurment. Note that in German, a NBSP has to be added in front of ""°C"" (Grad Celsius), but never in front of ""°"" (Grad, for example of an angle), e.g. 20 °C and 20°.",,regular_space_before_unit,linter:regular_space_before_unit
25_0613_4680_US_IE_4.xlsx,allows,erlaubt/ermöglicht,ermöglicht,Consistency,Minor,See above,,,manual:consistency
25_0613_4680_US_IE_4.xlsx,component,Komponente/Bauteil,Komponente,Consistency,Minor,See above,,,manual:consistency
25_0613_4680_US_IE_4.xlsx,To overcome the foaming problem it is proposed in CN [no-break space - U+00A0] 114 [no-break space - U+00A0] 801 [no-break space - U+00A0] 266 [no-break space - U+00A0] A to use a water bath into which the component is dipped.,"Um das Aufschäumproblem zu lösen, wird in CN 114 801 266 A vorgeschlagen, ein Wasserbad zu verwenden, in das das Bauteil getaucht wird.","Um das Aufschäumproblem zu vermeiden, wird in CN [no-break space - U+00A0] 114 [no-break space - U+00A0] 801 [no-break space - U+00A0] 266 [no-break space - U+00A0] A vorgeschlagen, ein Wasserbad zu verwenden, in das die Komponente getaucht wird.",Accuracy,Minor,"NBSP not alligend with source;
overcome = vermeiden (glossary!)
Komponente/Bauteil",,negation_not_transferred; regular_space_before_unit; werden_dynamic,linter:regular_space_before_unit; glossary:other; manual:consistency
25_0613_4680_US_IE_4.xlsx,Source error sheet,Corrected errors,Reproduce errors,,,We are told to reproduce the source errors (if possible). We may first correct them during LSO (Korrekturschleife). So I changed some of your corrections (force f instead of force F; wring reference number),,,
25_0626_4991_US_IE_4.5.xlsx,"1. A ferrule, comprising a ferrule body (11) and at least one fiber (12) wherein","1. Eine Ferrule, umfassend einen Ferrulenkörper (11) und mindestens eine Faser (12), wobei","1. Ferrule, umfassend einen Ferrulenkörper (11) und mindestens eine Faser (12), wobei",Style,Minor,No articles in preambles,,german_claim_no_article,linter:german_claim_no_article
25_0626_4991_US_IE_4.5.xlsx,wherein the connection end face (112) is an end face that is of the ferrule and that abuts another ferrule,wobei die Verbindungsendfläche (112) eine Endfläche der Ferrule ist und an eine andere Ferrule angrenzt,"wobei die Verbindungsendfläche (112) eine Endfläche ist, die von der Ferrule ist und die an eine andere Ferrule angrenzt",Accuracy,Minor,that is of the ferrule,,,manual:accuracy
25_0626_4991_US_IE_4.5.xlsx,from,vom,von dem,Accuracy,Minor,"von dem, in dem, an dem etc.",,preposition_contraction,linter:preposition_contraction
25_0626_4991_US_IE_4.5.xlsx,antireflection coating,Antireflexbeschichtung,Antireflexionsbeschichtung,Preferential Change,Minor,Closer to the source,,,manual:other
25_0626_4991_US_IE_4.5.xlsx,plated,aufgebracht/plattiert,plattiert,Consistency,Minor,Stay consistent,,,manual:consistency
